AL0000	other	None
AL0602	warning	WRN_ERR_BadAccess
AL0603	warning	WRN_DangerousImplicitConversion
AL0604	warning	WRN_ERR_UseOfImplicitWith
AL0605	other	HDN_UseOfImplicitWith
AL0606	warning	WRN_ERR_UseOfExplicitWith
AL0607	other	HDN_UseOfExplicitWith
AL0608	warning	WRN_ERR_OrderByWithoutFields
AL0609	warning	WRN_AddingActionCueGroup
AL0610	warning	WRN_MovingActionCueGroup
AL0611	warning	WRN_ModifyActionCueGroup
AL0612	error	ERR_InterfaceMemberMustBeDeclareMethod
AL0613	warning	WRN_ERR_InvalidTriggerSignature
AL0614	warning	WRN_ERR_ReservedPropertyValue
AL0615	warning	WRN_ERR_ODataKeyFieldNotReferenced
AL0616	error	ERR_ReservedCodeunitInterfaceMethodSignature
AL0617	warning	WRN_ERR_OnBeforeActionEventNotValidWithRunObject
AL0619	error	ERR_CaptionAttributeNotServiceProcedure
AL0620	error	ERR_BadDirectivePlacement
AL0621	error	ERR_PPDirectiveExpected
AL0622	error	ERR_EndRegionDirectiveExpected
AL0623	error	ERR_EndifDirectiveExpected
AL0624	error	ERR_UnexpectedDirective
AL0625	error	ERR_PPDefFollowsToken
AL0626	warning	WRN_IdentifierOrNumericLiteralExpected
AL0627	warning	WRN_IllegalPPWarning
AL0628	warning	WRN_IllegalPragma
AL0629	error	ERR_InvalidPreprocExpr
AL0630	error	ERR_IllegalEscape
AL0631	error	ERR_EndOfPPLineExpected
AL0632	error	ERR_CloseParenExpected
AL0633	warning	WRN_IllegalPPImplicitWith
AL0634	warning	WRN_EndOfPPLineExpected
AL0635	warning	WRN_ERR_EventSubscriberWithOnPremAttribute
AL0636	error	ERR_RequiresBigTextExtendedDataType
AL0637	error	ERR_NavigationMustBeOnAPIPage
AL0638	error	ERR_VariantAsReportColumn
AL0639	warning	WRN_ERR_VariantAsReportColumn
AL0640	warning	WRN_XMLParseError
AL0641	warning	WRN_MissingParamTag
AL0642	warning	WRN_MissingXMLComment
AL0643	warning	WRN_UnprocessedXMLComment
AL0644	warning	WRN_UnmatchedParamTag
AL0645	warning	WRN_UnmatchedParamRefTag
AL0646	warning	WRN_DuplicateParamTag
AL0647	warning	WRN_ErrorOverride
AL0648	error	ERR_OpenEndedComment
AL0649	warning	WRN_ERR_CommaInEnumValue
AL0650	warning	WRN_ERR_TranslationSourceStringTooLong
AL0651	error	ERR_PermissionSetCircularReference
AL0652	error	ERR_PermissionSetSelfReference
AL0653	error	ERR_IdSyntaxNotAllowed
AL0654	error	ERR_PropertyWrongFileExtension
AL0655	warning	WRN_ERR_DataItemLinkMustReferenceParent
AL0656	error	ERR_CannotAnchorControlsAddedInTheSameExtension
AL0657	error	ERR_MissingMandatoryPropertyOfPartOfTypeAPI
AL0658	error	ERR_MemberNameOnlyAllowedForTriggers
AL0659	warning	WRN_EnumIdentifierTooLong
AL0660	warning	WRN_ERR_NonCustomizableProperty
AL0662	warning	WRN_BigIntegerNarrowingConversionInProperty
AL0663	warning	WRN_BigIntegerNarrowingConversionInPropertyToEnum
